Geneid	U1	U2	U3	M1	M2	M3	C1	C2	C3	G1	G2	G3
CDS:AF52_RS13940:fetB:iron_export_ABC_transporter_permease_subunit_FetB:cds-WP_004893788.1:+:782:NZ_KK737547.1	161	62	116	192	81	190	147	176	158	369	369	522
CDS:AF52_RS13935:-:co-chaperone_YbbN:cds-WP_002892263.1:-:854:NZ_KK737547.1	626	420	412	900	425	1014	259	297	363	1529	1457	2482
CDS:AF52_RS13930:-:SDR_family_oxidoreductase:cds-WP_009484702.1:-:809:NZ_KK737547.1	125	95	191	217	131	306	57	161	126	291	232	264
CDS:AF52_RS13925:tesA:multifunctional_acyl-CoA_thioesterase_I/protease_I/lysophospholipase_L1:cds-WP_004196998.1:-:623:NZ_KK737547.1	262	168	94	145	167	192	63	163	105	393	286	648
CDS:AF52_RS13920:-:ABC_transporter_ATP-binding_protein:cds-WP_032429794.1:+:686:NZ_KK737547.1	318	116	286	464	258	458	85	147	112	1028	820	1302
CDS:AF52_RS13915:-:ABC_transporter_permease:cds-WP_032429796.1:+:2414:NZ_KK737547.1	858	444	890	1059	649	1226	200	222	159	844	581	917
CDS:AF52_RS27940:-:hypothetical_protein:cds-WP_004219504.1:-:113:NZ_KK737547.1	11	10	15	7	7	5	4	9	8	63	69	44
CDS:AF52_RS13910:-:porin:cds-WP_004142997.1:+:1145:NZ_KK737547.1	191	106	182	135	39	156	3	4	44	66	98	191
CDS:AF52_RS13905:mnmH:tRNA_2-selenouridine34_synthase_MnmH:cds-WP_004151323.1:-:1076:NZ_KK737547.1	720	288	651	479	310	627	190	172	218	518	363	536
CDS:AF52_RS13900:purK:5-carboxyaminoimidazole_ribonucleotide_synthase:cds-WP_032429798.1:-:1067:NZ_KK737547.1	6210	3489	5466	5522	3250	7649	4769	5255	6207	1845	1679	3005
CDS:AF52_RS13895:purE:5-carboxyaminoimidazole_ribonucleotide_mutase:cds-WP_004151322.1:-:509:NZ_KK737547.1	2148	1391	1969	1748	1154	1904	968	1435	972	1380	1256	1855
CDS:AF52_RS13890:-:hypothetical_protein:cds-WP_032429801.1:-:338:NZ_KK737547.1	126	119	137	66	48	150	20	23	56	27	74	125
CDS:AF52_RS13885:lpxH:UDP-2%2C3-diacylglucosamine_diphosphatase:cds-WP_004151320.1:-:722:NZ_KK737547.1	1112	721	957	1035	516	1097	375	682	626	657	575	786
CDS:AF52_RS13880:ppiB:peptidylprolyl_isomerase_B:cds-WP_004151319.1:-:494:NZ_KK737547.1	1804	972	1614	1542	661	1803	1045	1683	1567	1917	1871	3000
CDS:AF52_RS13875:cysS:cysteine--tRNA_ligase:cds-WP_004143010.1:+:1385:NZ_KK737547.1	1331	826	1079	1226	597	1332	1085	1680	1398	1276	1249	1807
CDS:AF52_RS13870:ybcJ:ribosome-associated_protein_YbcJ:cds-WP_004143016.1:-:212:NZ_KK737547.1	606	370	736	701	369	785	271	516	458	312	417	369
CDS:AF52_RS13865:folD:bifunctional_methylenetetrahydrofolate_dehydrogenase/methenyltetrahydrofolate_cyclohydrolase_FolD:cds-WP_004143017.1:-:866:NZ_KK737547.1	1340	734	1234	1290	584	1338	547	818	769	1443	1046	2515
CDS:AF52_RS13855:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-32:+:968:NZ_KK737547.1	942	436	742	619	433	601	222	303	289	997	910	1471
CDS:AF52_RS25480:-:PTS_system_mannose/fructose/sorbose_family_transporter_subunit_IID:cds-AF52_RS25480:+:149:NZ_KK737547.1	46	20	42	54	32	47	14	11	1	37	25	72
CDS:AF52_RS13850:-:SIS_domain-containing_protein:cds-WP_002893005.1:+:1061:NZ_KK737547.1	248	101	215	190	72	167	71	61	39	455	421	752
CDS:AF52_RS13845:-:SIS_domain-containing_protein:cds-AF52_RS13845:+:869:NZ_KK737547.1	61	22	42	21	16	23	7	2	9	56	71	147
CDS:AF52_RS13840:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-33:+:968:NZ_KK737547.1	377	162	262	317	159	290	229	275	234	437	481	628
CDS:AF52_RS27075:-:SIS_domain-containing_protein:cds-AF52_RS27075:+:125:NZ_KK737547.1	6	0	17	11	2	5	1	0	1	2	7	11
CDS:AF52_RS13835:-:PRD_domain-containing_protein:cds-AF52_RS13835:-:410:NZ_KK737547.1	6	7	0	4	7	7	0	1	2	26	37	27
CDS:AF52_RS27080:-:IS5/IS1182_family_transposase:cds-AF52_RS27080:-:180:NZ_KK737547.1	128	36	75	74	29	55	24	12	12	169	226	113
CDS:AF52_RS13830:-:sigma_54-interacting_transcriptional_regulator:cds-AF52_RS13830:-:2324:NZ_KK737547.1	430	225	466	376	171	441	76	57	81	676	352	686
CDS:AF52_RS13825:-:DUF2157_domain-containing_protein:cds-WP_021441375.1:-:1034:NZ_KK737547.1	188	101	101	175	132	187	37	69	62	197	207	355
CDS:AF52_RS13820:-:helix-turn-helix_domain-containing_protein:cds-WP_004151823.1:-:866:NZ_KK737547.1	145	77	132	185	92	209	85	70	46	463	353	588
CDS:AF52_RS13815:-:MFS_transporter:cds-WP_004223482.1:+:1427:NZ_KK737547.1	101	34	67	93	38	113	20	62	58	100	111	101
CDS:AF52_RS13810:-:mechanosensitive_ion_channel_family_protein:cds-WP_004142570.1:+:1244:NZ_KK737547.1	470	235	515	436	211	384	108	155	118	435	425	624
CDS:AF52_RS13805:-:LacI_family_DNA-binding_transcriptional_regulator:cds-WP_004176981.1:-:980:NZ_KK737547.1	257	130	247	183	86	253	78	87	50	426	336	570
CDS:AF52_RS13800:exc2:Exc2_family_lipoprotein:cds-WP_004183289.1:+:416:NZ_KK737547.1	34	14	15	29	21	86	9	10	7	116	124	196
CDS:AF52_RS13795:-:Gfo/Idh/MocA_family_oxidoreductase:cds-WP_016946855.1:-:1151:NZ_KK737547.1	23	9	12	18	9	16	2	11	9	9	26	49
CDS:AF52_RS13790:-:sugar_phosphate_isomerase/epimerase:cds-WP_032429809.1:-:1022:NZ_KK737547.1	0	5	3	3	0	11	0	0	0	1	21	21
CDS:AF52_RS13785:-:MFS_transporter:cds-WP_021441372.1:-:1205:NZ_KK737547.1	22	10	19	2	0	8	0	0	0	73	25	51
CDS:AF52_RS13780:pheP:phenylalanine_transporter:cds-WP_021441371.1:-:1376:NZ_KK737547.1	1334	717	820	881	502	996	93	55	99	656	694	857
CDS:AF52_RS13775:-:TonB-dependent_siderophore_receptor:cds-WP_032428635.1:-:2198:NZ_KK737547.1	61	30	27	50	58	113	19	17	14	60	48	139
CDS:AF52_RS13770:-:YncE_family_protein:cds-WP_032428633.1:-:1082:NZ_KK737547.1	20	2	39	62	51	73	0	0	19	43	6	14
CDS:AF52_RS13765:-:aldehyde_dehydrogenase_family_protein:cds-WP_032428631.1:-:1484:NZ_KK737547.1	38	38	23	53	11	74	12	7	25	28	28	84
CDS:AF52_RS13760:-:FAD-binding_oxidoreductase:cds-WP_004176990.1:+:1301:NZ_KK737547.1	3	0	6	3	25	0	1	0	0	6	24	3
CDS:AF52_RS13755:-:cupin_domain-containing_protein:cds-WP_002892824.1:+:365:NZ_KK737547.1	18	0	6	0	8	0	0	0	1	7	8	7
CDS:AF52_RS13750:-:APC_family_permease:cds-WP_021441367.1:+:1499:NZ_KK737547.1	19	40	37	27	0	6	14	10	0	140	106	206
CDS:AF52_RS13745:-:DUF3156_family_protein:cds-WP_021441366.1:+:542:NZ_KK737547.1	5	6	6	5	1	16	0	0	0	5	17	24
CDS:AF52_RS13740:-:helix-turn-helix_domain-containing_protein:cds-WP_004178885.1:-:362:NZ_KK737547.1	71	31	49	52	14	47	24	35	51	1067	977	1368
CDS:AF52_RS13735:-:type_II_toxin-antitoxin_system_HigB_family_toxin:cds-WP_004178884.1:-:302:NZ_KK737547.1	31	29	5	31	29	9	36	27	49	746	557	1031
CDS:AF52_RS13730:-:class_II_histone_deacetylase:cds-WP_021441365.1:-:1115:NZ_KK737547.1	22	5	52	26	16	29	13	18	14	224	98	145
CDS:AF52_RS13725:-:MFS_transporter:cds-WP_004183273.1:-:1172:NZ_KK737547.1	29	19	11	15	6	9	0	24	0	116	146	253
CDS:AF52_RS13720:-:LuxR_family_transcriptional_regulator:cds-WP_002892774.1:-:683:NZ_KK737547.1	53	30	17	9	41	15	22	32	26	1347	988	1814
CDS:AF52_RS13715:-:anaerobic_sulfatase_maturase:cds-WP_009308086.1:+:1187:NZ_KK737547.1	14	0	1	19	6	0	0	0	15	93	44	119
CDS:AF52_RS13710:-:arylsulfatase:cds-WP_004223434.1:+:1733:NZ_KK737547.1	0	0	16	4	4	1	6	0	8	12	9	16
CDS:AF52_RS13705:-:SDR_family_oxidoreductase:cds-WP_004183270.1:+:776:NZ_KK737547.1	8	9	0	8	14	3	4	1	3	16	18	8
CDS:AF52_RS13700:-:MoaF_N-terminal_domain-containing_protein:cds-WP_032429971.1:+:734:NZ_KK737547.1	6	3	19	10	3	6	0	2	2	16	18	14
CDS:AF52_RS13695:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-34:-:968:NZ_KK737547.1	283	52	164	160	76	202	109	198	162	262	292	461
CDS:AF52_RS13690:-:Crp/Fnr_family_transcriptional_regulator:cds-AF52_RS13690:-:470:NZ_KK737547.1	6	4	6	10	2	3	2	6	3	10	13	10
CDS:AF52_RS13685:-:aminoimidazole_riboside_kinase:cds-WP_021441356.1:+:923:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13680:-:carbohydrate_porin:cds-WP_004147437.1:+:1517:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13675:-:PTS_sucrose_transporter_subunit_IIBC:cds-WP_021441355.1:+:1370:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	1	0
CDS:AF52_RS13670:-:sucrose-6-phosphate_hydrolase:cds-WP_021441354.1:+:1400:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13665:-:LacI_family_DNA-binding_transcriptional_regulator:cds-WP_187079191.1:+:1010:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13660:-:hypothetical_protein:cds-WP_004177009.1:-:641:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13655:-:ABC_transporter_permease:cds-WP_004152946.1:-:1022:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13650:-:sugar_ABC_transporter_ATP-binding_protein:cds-WP_004142660.1:-:1484:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13645:-:sugar_ABC_transporter_substrate-binding_protein:cds-WP_002892597.1:-:923:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	1
CDS:AF52_RS13640:-:LacI_family_DNA-binding_transcriptional_regulator:cds-WP_004191476.1:-:1019:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13635:-:Gfo/Idh/MocA_family_oxidoreductase:cds-AF52_RS13635:+:1004:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	1
CDS:AF52_RS13630:-:Gfo/Idh/MocA_family_oxidoreductase:cds-WP_004147428.1:-:1031:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13625:-:Gfo/Idh/MocA_family_oxidoreductase:cds-WP_004191478.1:-:1172:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13620:iolE:myo-inosose-2_dehydratase:cds-WP_004215104.1:-:920:NZ_KK737547.1	0	0	0	0	0	0	0	0	0	0	0	0
CDS:AF52_RS13615:-:IS5-like_element_IS903B_family_transposase:cds-WP_187079192.1:-:968:NZ_KK737547.1	204	106	257	124	104	95	131	144	139	237	220	355
CDS:AF52_RS0123810:-:IS5-like_element_IS903_family_transposase:cds-AF52_RS0123810:+:473:NZ_KK737547.1	78	34	81	91	47	77	20	15	13	105	105	133
CDS:AF52_RS13610:cadC:lysine_decarboxylation/transport_transcriptional_activator_CadC:cds-WP_032429814.1:-:1574:NZ_KK737547.1	531	387	353	367	292	427	76	98	80	849	815	1421
CDS:AF52_RS13605:-:DUF1471_domain-containing_protein:cds-WP_002892402.1:-:272:NZ_KK737547.1	943	449	745	1142	607	1411	552	825	964	2492	1784	2455
CDS:AF52_RS13600:-:LpxL/LpxP_family_Kdo2-lipid_IVA_lauroyl/palmitoleoyl_acyltransferasee:cds-WP_002892400.1:-:920:NZ_KK737547.1	245	150	235	390	286	573	274	485	263	2886	2485	3916
CDS:AF52_RS13595:-:GNAT_family_N-acetyltransferase:cds-WP_032429816.1:+:866:NZ_KK737547.1	72	33	57	137	67	131	27	34	27	578	463	807
CDS:AF52_RS13590:-:citrate_synthase:cds-WP_032428620.1:-:1304:NZ_KK737547.1	28	30	34	33	45	28	29	34	1	66	32	183
CDS:AF52_RS27945:-:hypothetical_protein:cds-WP_004142684.1:-:140:NZ_KK737547.1	0	6	1	0	2	0	0	0	0	1	2	8
CDS:AF52_RS13585:-:hypothetical_protein:cds-WP_002892370.1:+:170:NZ_KK737547.1	26	6	33	37	23	42	1	6	0	29	19	31
CDS:AF52_RS27950:-:hydroxyisourate_hydrolase:cds-AF52_RS27950:-:77:NZ_KK737547.1	22	2	24	16	12	11	6	8	2	33	49	69
CDS:AF52_RS13580:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-35:+:968:NZ_KK737547.1	389	146	296	336	152	305	190	253	220	435	419	725
CDS:AF52_RS13575:-:PTS_system_mannose/fructose/sorbose_family_transporter_subunit_IID:cds-AF52_RS13575:-:713:NZ_KK737547.1	6	1	13	22	1	1	5	0	3	47	55	59
CDS:AF52_RS13570:-:PTS_mannose/fructose/sorbose/N-acetylgalactosamine_transporter_subunit_IIC:cds-WP_004183295.1:-:743:NZ_KK737547.1	19	0	3	0	0	17	0	19	0	23	30	63
CDS:AF52_RS13565:-:PTS_sugar_transporter_subunit_IIB:cds-WP_004176974.1:-:470:NZ_KK737547.1	11	2	9	0	0	0	7	0	0	18	22	30
CDS:AF52_RS13560:-:PTS_sugar_transporter_subunit_IIA:cds-WP_002893017.1:-:434:NZ_KK737547.1	17	17	6	28	12	12	9	5	0	15	23	36
CDS:AF52_RS13555:nfsB:oxygen-insensitive_NADPH_nitroreductase:cds-WP_004178896.1:-:653:NZ_KK737547.1	1118	744	836	1029	776	1539	382	509	429	770	623	1024
CDS:AF52_RS13550:-:MmcQ/YjbR_family_DNA-binding_protein:cds-WP_004142557.1:-:368:NZ_KK737547.1	130	158	130	243	227	364	11	38	19	202	118	274
CDS:AF52_RS13545:-:TetR/AcrR_family_transcriptional_regulator:cds-WP_014599061.1:-:581:NZ_KK737547.1	166	80	146	377	261	586	81	18	42	427	411	654
CDS:AF52_RS13540:-:MBL_fold_metallo-hydrolase:cds-WP_171991789.1:+:1115:NZ_KK737547.1	265	137	276	1591	1501	2428	59	98	62	1248	1022	1594
CDS:AF52_RS13535:ramA:RamA_family_antibiotic_efflux_transcriptional_regulator:cds-WP_002893035.1:+:341:NZ_KK737547.1	170	155	165	534	496	1125	108	124	114	446	330	550
CDS:AF52_RS13530:-:DUF1158_domain-containing_protein:cds-WP_002893037.1:-:248:NZ_KK737547.1	140	143	247	275	121	335	100	115	119	2101	1845	2973
CDS:AF52_RS13525:-:cation-transporting_P-type_ATPase:cds-WP_032428645.1:+:2723:NZ_KK737547.1	415	343	417	1592	1095	2614	224	253	215	9354	8205	12974
CDS:AF52_RS13520:-:efflux_RND_transporter_periplasmic_adaptor_subunit:cds-WP_021441380.1:+:1079:NZ_KK737547.1	195	74	219	480	280	731	83	66	58	1113	815	1462
CDS:AF52_RS13515:-:efflux_RND_transporter_permease_subunit:cds-WP_032429823.1:+:3092:NZ_KK737547.1	351	171	326	656	455	892	87	127	95	333	350	531
CDS:AF52_RS13510:-:phosphodiester_glycosidase_family_protein:cds-WP_004176956.1:-:719:NZ_KK737547.1	81	61	92	55	63	109	11	14	10	78	89	183
CDS:AF52_RS13505:-:glutamate--cysteine_ligase:cds-WP_004178906.1:-:1115:NZ_KK737547.1	7	5	11	36	21	13	1	26	6	18	25	36
CDS:AF52_RS13500:-:ABC_transporter_substrate-binding_protein:cds-WP_021441381.1:+:1667:NZ_KK737547.1	4	13	18	50	16	13	5	46	1	218	58	227
CDS:AF52_RS13495:-:ABC_transporter_permease:cds-WP_004178910.1:+:953:NZ_KK737547.1	3	0	4	19	2	12	8	6	0	32	40	28
CDS:AF52_RS13490:-:ABC_transporter_permease:cds-WP_008805546.1:+:893:NZ_KK737547.1	20	0	6	3	6	7	0	5	11	3	13	13
CDS:AF52_RS13485:-:ABC_transporter_ATP-binding_protein:cds-WP_004223507.1:+:1037:NZ_KK737547.1	28	0	5	27	13	5	0	14	4	16	22	6
CDS:AF52_RS13480:-:ABC_transporter_ATP-binding_protein:cds-WP_021441382.1:+:1010:NZ_KK737547.1	0	9	8	13	13	10	11	9	0	11	23	43
CDS:AF52_RS13475:-:Zn-dependent_hydrolase:cds-WP_021441383.1:+:1268:NZ_KK737547.1	21	8	16	47	26	33	7	2	1	9	19	39
CDS:AF52_RS13470:-:DMT_family_transporter:cds-WP_032428650.1:-:908:NZ_KK737547.1	89	37	50	47	43	108	12	10	11	105	83	152
CDS:AF52_RS13465:-:PLP-dependent_aminotransferase_family_protein:cds-WP_032429824.1:+:1334:NZ_KK737547.1	141	93	71	79	68	138	42	35	37	205	164	353
CDS:AF52_RS13460:-:PLP-dependent_aminotransferase_family_protein:cds-WP_004176948.1:-:1463:NZ_KK737547.1	8	6	0	0	0	18	1	0	0	22	29	9
CDS:AF52_RS13455:-:transporter_substrate-binding_domain-containing_protein:cds-WP_004176946.1:+:851:NZ_KK737547.1	0	2	0	0	0	2	0	0	0	5	40	18
CDS:AF52_RS13450:-:amino_acid_ABC_transporter_permease:cds-WP_002893187.1:+:641:NZ_KK737547.1	0	1	7	0	0	1	0	0	0	10	7	7
CDS:AF52_RS13445:-:ABC_transporter_permease_subunit:cds-WP_002893189.1:+:665:NZ_KK737547.1	0	0	8	0	0	0	0	0	0	56	1	36
CDS:AF52_RS13440:-:amino_acid_ABC_transporter_ATP-binding_protein:cds-WP_004151676.1:+:761:NZ_KK737547.1	1	9	25	11	10	7	0	11	8	43	36	46
CDS:AF52_RS13435:-:SDR_family_NADP-dependent_oxidoreductase:cds-WP_032428652.1:-:764:NZ_KK737547.1	14	2	13	5	4	2	1	0	0	9	19	19
CDS:AF52_RS13430:-:aspartate_aminotransferase_family_protein:cds-WP_004183313.1:+:1337:NZ_KK737547.1	20	24	22	43	14	2	0	0	1	28	10	7
CDS:AF52_RS27955:-:LysR_family_transcriptional_regulator:cds-WP_104443363.1:-:155:NZ_KK737547.1	10	0	40	7	12	8	8	1	8	12	30	16
CDS:AF52_RS25510:-:helix-turn-helix_transcriptional_regulator:cds-WP_077254746.1:-:110:NZ_KK737547.1	20	2	3	24	7	7	0	6	0	6	14	17
CDS:AF52_RS13425:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-36:-:968:NZ_KK737547.1	217	93	136	199	46	266	103	150	113	244	201	384
CDS:AF52_RS13420:-:IS110_family_transposase:cds-WP_022615459.1:-:995:NZ_KK737547.1	59	17	54	61	31	61	3	14	0	39	57	61
CDS:AF52_RS13415:-:ABC_transporter_ATP-binding_protein:cds-WP_009483809.1:-:704:NZ_KK737547.1	27	19	73	32	24	38	1	5	14	1	0	6
CDS:AF52_RS13410:-:ABC_transporter_ATP-binding_protein:cds-WP_021441389.1:-:836:NZ_KK737547.1	61	16	36	52	24	62	9	5	19	2	1	18
CDS:AF52_RS13405:-:ABC_transporter_permease:cds-WP_032429827.1:-:833:NZ_KK737547.1	111	26	70	82	16	51	15	10	9	6	24	21
CDS:AF52_RS13400:-:ABC_transporter_permease:cds-WP_021441390.1:-:1022:NZ_KK737547.1	131	101	144	76	39	145	37	4	0	33	31	52
CDS:AF52_RS13395:-:ABC_transporter_substrate-binding_protein:cds-WP_009308119.1:-:1568:NZ_KK737547.1	223	79	144	195	134	253	33	26	18	247	214	390
CDS:AF52_RS13390:-:GNAT_family_N-acetyltransferase:cds-WP_002893466.1:+:695:NZ_KK737547.1	123	74	63	115	123	154	11	39	10	170	168	210
CDS:AF52_RS13385:betA:choline_dehydrogenase:cds-WP_032429829.1:-:1664:NZ_KK737547.1	765	570	812	956	473	1103	2449	2591	2862	2601	1716	3616
CDS:AF52_RS13380:betB:betaine-aldehyde_dehydrogenase:cds-WP_004147503.1:-:1472:NZ_KK737547.1	848	460	723	816	387	858	1780	1931	2154	9655	8437	13810
CDS:AF52_RS13375:betI:transcriptional_regulator_BetI:cds-WP_004151671.1:-:587:NZ_KK737547.1	570	361	436	470	240	366	927	1095	899	5633	5460	7945
CDS:AF52_RS13370:betT:choline_BCCT_transporter_BetT:cds-WP_004142478.1:+:2033:NZ_KK737547.1	1377	735	1035	810	430	595	816	1065	856	3631	3865	5568
CDS:AF52_RS13365:ivy:C-lysozyme_inhibitor:cds-WP_071603220.1:-:527:NZ_KK737547.1	1659	751	1004	1365	649	1500	336	356	436	1503	1351	2354
CDS:AF52_RS13360:-:mechanosensitive_ion_channel:cds-WP_021441392.1:+:1256:NZ_KK737547.1	183	109	139	121	116	134	85	172	144	337	323	479
CDS:AF52_RS13355:-:LysR_family_transcriptional_regulator:cds-WP_021441393.1:-:893:NZ_KK737547.1	136	70	143	118	72	122	40	38	97	334	224	470
CDS:AF52_RS13350:-:glutathione_S-transferase:cds-WP_004183326.1:+:605:NZ_KK737547.1	70	59	45	37	32	90	9	87	91	136	105	97
CDS:AF52_RS13345:-:FGGY-family_carbohydrate_kinase:cds-WP_021441395.1:-:1499:NZ_KK737547.1	2427	1307	2181	1466	880	1771	266	365	324	902	839	1233
CDS:AF52_RS13340:-:fucose_isomerase:cds-WP_032428654.1:-:1418:NZ_KK737547.1	3269	1543	2191	1722	1290	2380	453	433	559	5343	4124	6323
CDS:AF52_RS13335:-:transketolase:cds-WP_004893550.1:-:950:NZ_KK737547.1	2049	894	1565	1427	859	1682	198	365	325	7580	5701	9211
CDS:AF52_RS13330:-:transketolase:cds-WP_004893549.1:-:830:NZ_KK737547.1	1548	910	1670	1322	620	1497	178	337	309	9865	7768	12800
CDS:AF52_RS13325:-:sugar-binding_transcriptional_regulator:cds-WP_032429976.1:+:950:NZ_KK737547.1	626	358	513	552	359	517	100	142	149	1956	1798	2270
CDS:AF52_RS13320:-:Rpn_family_recombination-promoting_nuclease/putative_transposase:cds-WP_021441398.1:-:962:NZ_KK737547.1	501	195	330	197	142	303	69	76	80	164	177	292
CDS:AF52_RS13315:-:ABC_transporter_permease:cds-WP_004885708.1:-:1088:NZ_KK737547.1	1147	871	1011	767	619	987	145	186	171	228	205	228
CDS:AF52_RS13310:-:sugar_ABC_transporter_ATP-binding_protein:cds-WP_032429833.1:-:1526:NZ_KK737547.1	1407	944	893	890	613	1002	144	225	168	724	802	1239
CDS:AF52_RS13305:-:DUF2291_family_protein:cds-WP_032428655.1:-:608:NZ_KK737547.1	270	247	290	302	180	270	33	90	69	841	927	1333
CDS:AF52_RS13300:-:D-ribose_ABC_transporter_substrate-binding_protein:cds-WP_021441401.1:-:941:NZ_KK737547.1	707	364	620	456	240	603	159	162	141	5609	5394	7919
CDS:AF52_RS13295:entD:enterobactin_synthase_subunit_EntD:cds-WP_021441402.1:-:659:NZ_KK737547.1	83	15	67	175	150	135	9	12	23	21	27	78
CDS:AF52_RS13290:fepA:TonB-dependent_siderophore_receptor:cds-WP_021441403.1:-:2228:NZ_KK737547.1	621	263	457	1053	654	1095	75	222	91	246	196	442
CDS:AF52_RS13285:fes:enterochelin_esterase:cds-WP_004147519.1:+:1208:NZ_KK737547.1	119	63	191	282	164	405	11	12	0	146	178	140
CDS:AF52_RS13280:-:MbtH_family_NRPS_accessory_protein:cds-WP_004176919.1:+:203:NZ_KK737547.1	9	22	3	38	10	40	0	0	0	3	15	0
CDS:AF52_RS13275:entF:enterobactin_non-ribosomal_peptide_synthetase_EntF:cds-WP_021441404.1:+:3881:NZ_KK737547.1	195	203	170	819	258	685	43	24	55	81	87	84
CDS:AF52_RS13270:fepC:iron-enterobactin_ABC_transporter_ATP-binding_protein:cds-WP_002893737.1:-:794:NZ_KK737547.1	67	18	89	165	65	170	0	7	8	6	0	22
CDS:AF52_RS13265:fepG:iron-enterobactin_ABC_transporter_permease:cds-WP_004147521.1:-:992:NZ_KK737547.1	83	34	90	175	53	164	1	15	0	16	0	19
CDS:AF52_RS13260:fepD:Fe3+-siderophore_ABC_transporter_permease:cds-WP_032429835.1:-:1007:NZ_KK737547.1	786	305	550	623	294	674	35	25	9	189	96	192
CDS:AF52_RS13255:entS:enterobactin_transporter_EntS:cds-WP_032429836.1:+:1241:NZ_KK737547.1	115	95	86	202	81	170	5	17	1	37	62	56
CDS:AF52_RS13250:fepB:Fe2+-enterobactin_ABC_transporter_substrate-binding_protein:cds-WP_004147526.1:-:959:NZ_KK737547.1	209	56	174	268	92	201	6	28	21	131	107	236
CDS:AF52_RS13245:entC:isochorismate_synthase_EntC:cds-WP_032429837.1:+:1175:NZ_KK737547.1	151	100	149	511	230	611	10	19	0	37	26	31
CDS:AF52_RS13240:entE:2%2C3-dihydroxybenzoyladenylate_synthase_EntE:cds-WP_004147529.1:+:1607:NZ_KK737547.1	98	63	116	580	215	725	0	0	12	67	0	28
CDS:AF52_RS13235:entB:isochorismatase:cds-WP_020324582.1:+:851:NZ_KK737547.1	61	20	17	228	107	308	0	0	0	23	5	32
CDS:AF52_RS13230:entA:2%2C3-dihydro-2%2C3-dihydroxybenzoate_dehydrogenase_EntA:cds-WP_024622880.1:+:746:NZ_KK737547.1	32	3	59	233	113	278	0	1	0	16	22	29
CDS:AF52_RS13225:entH:proofreading_thioesterase_EntH:cds-WP_002893892.1:+:413:NZ_KK737547.1	51	24	75	286	87	250	12	36	35	70	42	72
CDS:AF52_RS13220:cstA:carbon_starvation_protein_CstA:cds-WP_021441407.1:+:2105:NZ_KK737547.1	79	96	113	126	57	139	30	26	57	803	686	800
CDS:AF52_RS13215:-:YbdD/YjiX_family_protein:cds-WP_002893903.1:+:197:NZ_KK737547.1	21	11	24	17	18	15	11	10	16	62	38	71
CDS:AF52_RS13210:-:helix-turn-helix_transcriptional_regulator:cds-WP_004178982.1:-:404:NZ_KK737547.1	4	8	10	2	0	12	7	3	7	6	2	12
CDS:AF52_RS13205:-:type_II_toxin-antitoxin_system_RelE/ParE_family_toxin:cds-WP_021441408.1:-:302:NZ_KK737547.1	3	6	8	3	0	24	0	5	5	7	0	0
CDS:AF52_RS13200:-:3-oxoacyl-ACP_reductase_FabG:cds-WP_021464368.1:-:743:NZ_KK737547.1	48	10	50	23	59	39	0	1	0	33	24	23
CDS:AF52_RS13195:-:oxidoreductase:cds-WP_032429838.1:-:1088:NZ_KK737547.1	40	5	22	54	3	2	14	0	1	22	44	51
CDS:AF52_RS13190:-:sugar_ABC_transporter_ATP-binding_protein:cds-WP_020801584.1:+:1502:NZ_KK737547.1	29	0	6	1	12	65	10	4	0	21	33	38
CDS:AF52_RS13185:-:ABC_transporter_permease:cds-WP_002894035.1:+:998:NZ_KK737547.1	6	2	1	3	7	25	13	6	3	14	26	50
CDS:AF52_RS13180:-:sugar_ABC_transporter_substrate-binding_protein:cds-WP_002894036.1:+:1064:NZ_KK737547.1	53	9	5	2	13	15	10	1	13	16	39	33
CDS:AF52_RS13175:-:LVIVD_repeat-containing_protein:cds-WP_004178989.1:+:1241:NZ_KK737547.1	112	74	50	60	17	50	47	13	35	141	95	129
